ticket,deck,cabin,pclass,fare_per_person,family_size
W./C. 14266,5,F33,2.0,10.5,1
113055,4,E17,1.0,26.55,1
13567,1,B41,1.0,26.400000000000002,3
113509,1,B30,1.0,30.9896,2
PC 17483,2,C55 C57,1.0,110.8896,2
348124,5,F G73,3.0,7.65,1
SOTON/OQ 3101317,-1,,3.0,7.25,1
349215,-1,,3.0,7.8958,1
315153,-1,,3.0,7.341666666666666,3
349255,-1,,3.0,7.8958,1
111320,4,E63,1.0,38.5,1
3101298,-1,,3.0,4.095833333333333,3
113509,1,B36,1.0,30.9896,2
239853,-1,,2.0,0.0,1
237249,-1,,2.0,13.0,1
312993,-1,,3.0,7.775,1
SOTON/OQ 392076,-1,,3.0,7.05,1
365226,-1,,3.0,6.75,1
312991,-1,,3.0,7.775,1
347072,-1,,3.0,6.95,2
A. 2. 39186,-1,,3.0,8.05,1
110564,2,C52,1.0,26.55,1
347089,-1,,3.0,6.975,1
248731,-1,,2.0,13.5,1
112277,0,A31,1.0,31.0,1
C.A. 33595,-1,,2.0,15.75,1
345773,-1,,3.0,8.049999999999999,3
7935,-1,,3.0,7.75,1
349202,-1,,3.0,7.8958,1
112051,-1,,1.0,0.0,1
CA. 2314,-1,,3.0,7.55,1
LINE,-1,,3.0,0.0,1
359306,-1,,3.0,8.05,1
SC/Paris 2123,-1,,2.0,10.3948,4
3101297,-1,,3.0,7.925,1
STON/O 2. 3101294,-1,,3.0,7.925,1
330932,-1,,3.0,7.7875,1
SOTON/O2 3101272,-1,,3.0,7.125,1
250648,-1,,2.0,13.0,1
PC 17606,-1,,1.0,27.4458,1
19950,2,C23 C25 C27,1.0,43.833333333333336,6
12749,1,B69,1.0,31.166666666666668,3
349244,-1,,3.0,8.6833,1
248727,-1,,2.0,16.5,2
110813,3,D37,1.0,37.625,2
11767,2,C50,1.0,41.57915,2
347082,-1,,3.0,4.4678571428571425,7
2649,-1,,3.0,7.225,1
345771,-1,,3.0,9.5,1
29103,-1,,2.0,7.666666666666667,3
11774,2,C47,1.0,29.7,1
349254,-1,,3.0,7.8958,1
PC 17758,2,C105,1.0,108.9,1
349247,-1,,3.0,7.8958,1
PC 17598,-1,,1.0,31.6833,1
350043,-1,,3.0,7.7958,1
2661,-1,,3.0,5.081933333333333,3
2653,-1,,3.0,5.247233333333333,3
370129,-1,,3.0,6.7375,3
2681,-1,,3.0,6.4375,1
347088,-1,,3.0,4.6499999999999995,6
C 4001,-1,,3.0,22.525,1
244373,-1,,2.0,13.0,1
2622,-1,,3.0,7.2292,1
2669,-1,,3.0,7.2292,1
373450,-1,,3.0,8.05,1
CA. 2343,-1,,3.0,6.322727272727272,11
230136,5,F4,2.0,9.75,4
113572,1,B28,1.0,80.0,1
S.C./PARIS 2079,-1,,2.0,12.334733333333332,3
345763,-1,,3.0,4.5,4
113794,-1,,1.0,26.55,1
220845,-1,,2.0,16.25,4
7546,-1,,3.0,4.7375,2
239853,-1,,2.0,0.0,1
W./C. 14258,-1,,2.0,10.5,1
382652,-1,,3.0,4.854166666666667,6
11771,1,B37,1.0,29.7,1
347082,-1,,3.0,4.4678571428571425,7
SOTON/OQ 392086,-1,,3.0,8.05,1
248738,-1,,2.0,9.666666666666666,3
SC 14888,-1,,2.0,10.5,1
113760,1,B96 B98,1.0,30.0,4
236171,-1,,2.0,13.0,1
S.O./P.P. 3,4,E77,2.0,10.5,1
SC/Paris 2123,-1,,2.0,10.3948,4
113760,1,B96 B98,1.0,30.0,4
347742,-1,,3.0,3.7111,3
392095,-1,,3.0,7.25,1
113789,-1,,1.0,26.0,2
PC 17474,4,E25,1.0,26.3875,1
C.A. 31921,-1,,2.0,8.75,3
2664,-1,,3.0,7.225,1
2655,5,F E46,3.0,7.2292,1
SC/PARIS 2147,-1,,2.0,13.8583,1
21332,-1,,3.0,7.7333,1
C.A. 2315,-1,,3.0,5.14375,4
113788,0,A6,1.0,35.5,1
345768,-1,,3.0,9.5,1
347077,-1,,3.0,4.483928571428572,7
35851,-1,,3.0,7.7333,1
364499,-1,,3.0,8.05,1
349229,-1,,3.0,7.8958,1
S.O./P.P. 2,-1,,2.0,10.5,2
28404,-1,,2.0,13.0,1
2694,-1,,3.0,7.225,1
28664,-1,,2.0,10.5,2
2677,-1,,3.0,7.2292,1
237442,-1,,2.0,13.5,1
S.O./P.P. 251,-1,,3.0,7.55,1
363272,-1,,3.0,3.5,2
AQ/4 3130,-1,,3.0,7.75,1
2624,-1,,3.0,7.225,1
349237,-1,,3.0,8.9,2
330979,-1,,3.0,7.8292,1
PC 17590,0,A24,1.0,50.4958,1
STON/O 2. 3101275,-1,,3.0,7.125,1
237670,-1,,2.0,13.0,1
347063,-1,,3.0,7.775,1
112058,1,B52 B54 B56,1.0,0.0,1
370369,-1,,3.0,7.75,1
STON/O2. 3101290,-1,,3.0,7.925,1
PC 17585,-1,,1.0,79.2,1
F.C.C. 13540,-1,,2.0,10.5,1
LINE,-1,,3.0,0.0,1
13236,2,C78,1.0,28.875,2
240929,-1,,2.0,12.65,1
PC 17759,3,D10 D12,1.0,31.67915,2
343120,-1,,3.0,7.65,1
113503,2,C80,1.0,70.5,3
PC 17482,2,C90,1.0,49.5042,1
349232,-1,,3.0,7.8958,1
C.A. 17248,-1,,2.0,10.5,1
110413,4,E68,1.0,26.55,3
PC 17757,2,C62 C64,1.0,113.7625,2
113796,-1,,1.0,42.4,1
220367,-1,,2.0,13.0,1
C.A. 42795,-1,,3.0,7.55,1
CA 2144,-1,,3.0,5.8625,8
29750,-1,,2.0,13.0,3
W./C. 6607,-1,,3.0,5.8625,4
SO/C 14885,-1,,2.0,10.5,1
C 17369,-1,,3.0,7.1417,1
PC 17569,1,B78,1.0,73.2604,2
244252,-1,,2.0,13.0,2
PC 17754,0,A5,1.0,34.6542,1
C 4001,-1,,3.0,22.525,1
2543,2,C53,1.0,28.5375,1
371060,-1,,3.0,7.75,1
349251,-1,,3.0,7.8958,1
347467,-1,,3.0,7.8542,1
680,2,C39,1.0,50.0,1
A/5. 851,-1,,3.0,4.833333333333333,3
349223,-1,,3.0,7.8958,1
230080,5,F2,2.0,8.666666666666666,3
330958,-1,,3.0,7.8792,1
244367,-1,,2.0,13.0,2
363291,-1,,3.0,6.841666666666666,3
350060,-1,,3.0,7.5208,1
330919,-1,,3.0,7.8292,1
PC 17761,2,C86,1.0,53.2125,2
29750,-1,,2.0,13.0,3
17421,2,C68,1.0,36.9611,3
C.A. 2315,-1,,3.0,5.14375,4
347070,-1,,3.0,7.775,1
113038,1,B11,1.0,42.5,1
C.A. 34651,-1,,2.0,6.9375,4
240261,-1,,2.0,10.7083,1
SC/Paris 2163,3,D,2.0,12.875,1
F.C.C. 13529,-1,,2.0,8.75,3
2625,-1,,3.0,4.25835,2
347068,-1,,3.0,7.775,1
250649,-1,,2.0,4.833333333333333,3
223596,-1,,2.0,13.5,1
35281,3,D26,1.0,38.64375,2
C.A. 24579,-1,,2.0,10.5,1
349226,-1,,3.0,7.8958,1
A/4. 34244,-1,,3.0,7.25,1
4579,-1,,3.0,4.2021,2
2691,-1,,3.0,7.2271,2
C 4001,-1,,3.0,22.525,1
342441,-1,,3.0,8.05,1
347743,-1,,3.0,7.0542,1
11753,3,D19,1.0,26.2771,2
36963,3,D50,1.0,32.3208,1
363291,-1,,3.0,6.841666666666666,3
330980,-1,,3.0,7.8792,1
17421,2,C68,1.0,36.9611,3
3101264,-1,,3.0,6.4958,1
243880,-1,,2.0,13.0,1
349910,-1,,3.0,7.775,2
349256,-1,,3.0,6.70835,2
113781,-1,,1.0,151.55,1
2680,-1,,3.0,7.2271,2
A/4 48871,-1,,3.0,8.049999999999999,3
239059,-1,,2.0,16.0,1
S.O./P.P. 2,-1,,2.0,10.5,2
349249,-1,,3.0,7.8958,1
2678,-1,,3.0,5.081933333333333,3
110413,4,E67,1.0,26.55,3
PC 17483,2,C55 C57,1.0,110.8896,2
370129,-1,,3.0,6.7375,3
363294,-1,,3.0,8.05,1
237671,-1,,2.0,13.0,1
113792,-1,,1.0,26.55,1
C.A. 34050,-1,,2.0,10.5,1
230136,5,F4,2.0,9.75,4
17770,-1,,1.0,27.7208,1
376566,-1,,3.0,8.05,2
347060,-1,,3.0,7.775,1
347088,-1,,3.0,4.6499999999999995,6
CA 2144,-1,,3.0,5.8625,8
SOTON/O.Q. 3101308,-1,,3.0,7.05,1
CA 2144,-1,,3.0,5.8625,8
28551,3,D,2.0,13.0,1
220844,-1,,2.0,13.5,1
233866,-1,,2.0,13.0,1
C.A. 31026,-1,,2.0,10.5,1
330844,-1,,3.0,7.8792,1
28134,-1,,2.0,5.75,2
28220,-1,,2.0,10.833333333333334,3
W./C. 14263,-1,,2.0,10.5,1
364516,-1,,3.0,12.475,1
345364,-1,,3.0,6.2375,1
226875,-1,,2.0,13.0,2
PP 9549,6,G6,3.0,5.566666666666666,3
113510,2,C128,1.0,35.0,1
367228,-1,,3.0,7.75,1
112901,1,B26,1.0,8.85,3
113503,2,C130,1.0,211.5,1
364500,-1,,3.0,7.25,1
C.A. 31029,-1,,2.0,10.5,3
694,-1,,1.0,26.0,1
250652,-1,,2.0,4.333333333333333,3
PC 17582,2,C125,1.0,153.4625,1
A/4. 20589,-1,,3.0,8.05,1
345777,-1,,3.0,9.5,1
330959,-1,,3.0,7.8792,1
2666,-1,,3.0,4.814575,4
C.A. 31030,-1,,2.0,10.5,1
27849,-1,,2.0,13.0,1
PC 17582,2,C91,1.0,76.73125,2
19996,2,C126,1.0,26.0,2
A/4. 39886,-1,,3.0,7.8,1
29103,-1,,2.0,7.666666666666667,3
PC 17759,3,D10 D12,1.0,31.67915,2
SOTON/O.Q. 3101309,-1,,3.0,7.05,1
2700,-1,,3.0,7.2292,1
28213,-1,,2.0,13.0,1
PC 17582,2,C125,1.0,76.73125,2
3474,-1,,3.0,7.8875,1
367226,-1,,3.0,7.75,3
113043,2,C124,1.0,28.5,1
237565,-1,,2.0,15.0,1
16966,4,E34,1.0,44.833333333333336,3
P/PP 3381,-1,,2.0,12.0,2
367655,-1,,3.0,7.7292,1
248744,-1,,2.0,13.0,1
2682,-1,,3.0,7.2292,1
237393,-1,,2.0,13.0,1
342712,-1,,3.0,8.05,1
237736,-1,,2.0,15.0354,2
315037,-1,,3.0,8.6625,1
349224,-1,,3.0,7.8958,1
250655,-1,,2.0,26.0,1
CA. 2343,-1,,3.0,6.322727272727272,11
347086,-1,,3.0,7.775,1
347742,-1,,3.0,3.7111,3
SOTON/O.Q. 3101314,-1,,3.0,7.25,1
382650,-1,,3.0,6.95,1
330877,-1,,3.0,8.4583,1
334912,-1,,3.0,7.7333,1
250647,-1,,2.0,13.0,1
345769,-1,,3.0,9.5,1
32302,-1,,3.0,8.05,1
113807,-1,,1.0,26.55,1
2693,-1,,3.0,7.2292,1
A/S 2816,-1,,3.0,8.05,1
2679,-1,,3.0,7.225,1
367226,-1,,3.0,7.75,3
W/C 14208,-1,,2.0,10.5,1
PC 17591,1,B10,1.0,50.4958,1
113784,0,T,1.0,35.5,1
PC 17613,0,A11,1.0,27.7208,1
C.A. 6212,-1,,3.0,15.1,1
350408,-1,,3.0,7.8542,1
113780,2,C51,1.0,28.5,1
36928,-1,,1.0,54.95556666666667,3
315094,-1,,3.0,8.6625,1
W./C. 6609,-1,,3.0,7.55,1
S.O.C. 14879,-1,,2.0,24.5,3
370129,-1,,3.0,6.7375,3
2659,-1,,3.0,7.2271,2
S.O./P.P. 752,-1,,3.0,7.55,1
113781,2,C22 C26,1.0,37.8875,4
19950,2,C23 C25 C27,1.0,43.833333333333336,6
343276,-1,,3.0,8.05,1
376564,-1,,3.0,8.05,2
36864,-1,,3.0,7.7417,1
315098,-1,,3.0,8.6625,1
350048,-1,,3.0,3.5271,2
28034,-1,,2.0,10.5,1
CA 31352,-1,,2.0,10.5,2
S.C./PARIS 2079,-1,,2.0,12.334733333333332,3
113503,2,C80,1.0,70.5,3
349909,-1,,3.0,4.215,5
16966,4,E39 E41,1.0,134.5,1
350046,-1,,3.0,3.9271,2
248659,-1,,2.0,13.0,1
19952,4,E12,1.0,26.55,1
PC 17485,0,A20,1.0,28.4646,2
250646,-1,,2.0,13.0,1
386525,-1,,3.0,8.05,2
348122,5,F G63,3.0,7.65,1
C.A. 33595,-1,,2.0,15.75,1
W./C. 6608,-1,,3.0,6.875,5
12233,-1,,2.0,13.0,1
347071,-1,,3.0,7.775,1
26707,-1,,2.0,13.0,2
315152,-1,,3.0,2.8874999999999997,3
S.O.C. 14879,-1,,2.0,73.5,1
113776,2,C2,1.0,33.3,2
C.A. 29566,-1,,2.0,10.5,1
368402,-1,,3.0,7.75,1
7548,-1,,3.0,8.9625,1
230433,-1,,2.0,13.0,2
PC 17608,1,B61,1.0,262.375,1
W./C. 6608,-1,,3.0,6.875,5
110152,1,B77,1.0,86.5,1
C.A. 33111,-1,,2.0,10.5,1
113796,-1,,1.0,42.4,1
PC 17477,1,B35,1.0,69.3,1
CA 2144,-1,,3.0,5.8625,8
315095,-1,,3.0,8.6625,1
PC 17601,-1,,1.0,27.7208,1
29106,-1,,2.0,6.25,3
W./C. 6607,-1,,3.0,5.8625,4
CA. 2343,-1,,3.0,6.322727272727272,11
2695,-1,,3.0,2.409733333333333,3
364848,-1,,3.0,2.5833333333333335,3
350042,-1,,3.0,7.7958,1
2621,-1,,3.0,3.21875,2
349209,-1,,3.0,7.4958,1
347082,-1,,3.0,4.4678571428571425,7
349242,-1,,3.0,7.8958,1
W./C. 6608,-1,,3.0,6.875,5
349239,-1,,3.0,8.6625,1
383121,5,F38,3.0,7.75,1
382652,-1,,3.0,4.854166666666667,6
349227,-1,,3.0,7.8958,1
16966,4,E34,1.0,44.833333333333336,3
26360,-1,,2.0,8.666666666666666,3
F.C.C. 13528,-1,,2.0,21.0,1
PC 17757,-1,,1.0,227.525,1
374910,-1,,3.0,8.05,1
SOTON/O.Q. 3101310,-1,,3.0,7.05,1
113781,2,C22 C26,1.0,37.8875,4
13502,3,D7,1.0,38.97915,2
237789,-1,,2.0,10.0,3
36928,-1,,1.0,54.95556666666667,3
330935,-1,,3.0,8.1375,1
347077,-1,,3.0,4.483928571428572,7
C.A. 34651,-1,,2.0,6.9375,4
335097,-1,,3.0,7.75,1
3410,-1,,3.0,8.7125,1
35273,3,D48,1.0,37.75833333333333,3
2691,-1,,3.0,7.2271,2
2648,-1,,3.0,4.0125,1
11967,1,B49,1.0,45.5396,2
350052,-1,,3.0,7.7958,1
4134,-1,,3.0,9.5875,1
STON/OQ. 369943,-1,,3.0,8.05,1
371362,-1,,3.0,8.05,2
36865,-1,,3.0,7.7375,1
STON/O 2. 3101286,-1,,3.0,7.925,1
28666,-1,,2.0,5.25,2
3470,-1,,3.0,7.8875,1
315086,-1,,3.0,8.6625,1
236853,-1,,2.0,13.0,2
382652,-1,,3.0,4.854166666666667,6
8475,-1,,3.0,8.4333,1
111163,-1,,1.0,26.0,1
13905,-1,,1.0,26.0,1
2908,-1,,2.0,13.0,2
PC 17476,4,E24,1.0,26.2875,1
PC 17483,2,C95,1.0,221.7792,1
347085,-1,,3.0,7.775,1
113760,1,B96 B98,1.0,30.0,4
3101295,-1,,3.0,6.614583333333333,6
35273,3,D36,1.0,56.6375,2
17765,3,D40,1.0,13.8604,2
1601,-1,,3.0,56.4958,1
237734,-1,,2.0,15.0458,1
13508,2,C89,1.0,68.3896,2
C.A. 2673,-1,,3.0,6.75,3
113050,1,B38,1.0,26.55,1
350405,-1,,3.0,4.0611,3
W./C. 14260,-1,,2.0,10.5,1
324669,-1,,3.0,8.05,1
330910,-1,,3.0,7.8792,1
350025,-1,,3.0,3.9271,2
SC/AH Basle 541,3,D,2.0,13.7917,1
347082,-1,,3.0,4.4678571428571425,7
A/5 21174,-1,,3.0,7.25,1
248747,-1,,2.0,13.0,1
19877,2,C46,1.0,39.425,2
17474,1,B20,1.0,28.5,2
2672,-1,,3.0,7.225,1
110469,2,C106,1.0,26.0,1
11778,2,C116,1.0,27.72085,2
248738,-1,,2.0,9.666666666666666,3
218629,-1,,2.0,13.5,1
315085,-1,,3.0,8.6625,1
C 7077,-1,,3.0,7.25,1
PC 17761,-1,,1.0,106.425,1
113051,2,C111,1.0,27.75,1
65303,-1,,3.0,9.98335,2
2689,-1,,3.0,7.22915,2
PC 17604,-1,,1.0,41.0854,2
345764,-1,,3.0,6.0,3
345781,-1,,3.0,9.5,1
31027,-1,,2.0,5.25,4
2656,-1,,3.0,7.225,1
2699,-1,,3.0,18.7875,1
349210,-1,,3.0,7.4958,1
239856,-1,,2.0,0.0,1
PC 17755,1,B101,1.0,512.3292,1
112053,1,B42,1.0,30.0,1
349212,-1,,3.0,7.8958,1
113791,-1,,1.0,26.55,1
1601,-1,,3.0,56.4958,1
26360,-1,,2.0,8.666666666666666,3
F.C.C. 13531,-1,,2.0,10.5,1
SC/Paris 2123,-1,,2.0,10.3948,4
19943,2,C93,1.0,45.0,2
113790,-1,,1.0,26.55,1
35281,3,D26,1.0,38.64375,2
STON/O 2. 3101274,-1,,3.0,7.125,1
11668,-1,,2.0,10.5,2
C.A./SOTON 34068,-1,,2.0,10.5,1
PC 17558,1,B58 B60,1.0,82.50693333333334,3
6563,-1,,3.0,9.225,1
4137,-1,,3.0,4.9125,2
A4. 54510,-1,,3.0,8.05,1
36568,-1,,3.0,15.5,1
334915,-1,,3.0,7.7208,1
SOTON/O.Q. 3101262,-1,,3.0,7.25,1
347090,-1,,3.0,7.75,1
347064,-1,,3.0,7.75,1
PC 17755,-1,,1.0,512.3292,1
366713,-1,,3.0,7.75,1
237668,-1,,2.0,13.0,1
PC 17607,-1,,1.0,39.6,1
349910,-1,,3.0,7.775,2
350026,-1,,3.0,4.702766666666666,3
113800,-1,,1.0,26.55,1
376566,-1,,3.0,8.05,2
350410,-1,,3.0,7.8542,1
PC 17608,1,B57 B59 B63 B66,1.0,52.475,5
349204,-1,,3.0,7.8958,1
65306,-1,,3.0,8.1125,1
13508,2,C89,1.0,68.3896,2
33638,0,A34,1.0,27.2861,3
2627,-1,,3.0,14.4583,1
113783,2,C103,1.0,26.55,1
349256,-1,,3.0,6.70835,2
242963,-1,,2.0,13.0,1
250650,-1,,2.0,4.333333333333333,3
370370,-1,,3.0,7.75,1
330963,-1,,3.0,7.8792,1
CA. 2343,-1,,3.0,6.322727272727272,11
PC 17756,4,E52,1.0,27.71943333333333,3
PC 17599,2,C85,1.0,35.64165,2
342826,-1,,3.0,8.05,1
WE/P 5735,1,B22,1.0,23.666666666666668,3
SCO/W 1585,-1,,2.0,12.275,1
2668,-1,,3.0,7.452766666666666,3
350034,-1,,3.0,7.7958,1
F.C.C. 13529,-1,,2.0,8.75,3
349253,-1,,3.0,7.8958,1
2667,-1,,3.0,7.225,1
236854,-1,,2.0,13.0,1
382652,-1,,3.0,4.854166666666667,6
371109,-1,,3.0,7.25,1
C 7075,-1,,3.0,6.45,1
36947,3,D20,1.0,39.13335,2
341826,-1,,3.0,8.05,1
349221,-1,,3.0,7.8958,1
SOTON/O.Q. 3101307,-1,,3.0,7.05,1
W.E.P. 5734,4,E31,1.0,30.5875,2
11778,2,C116,1.0,27.72085,2
348123,5,F G73,3.0,7.65,1
24160,1,B3,1.0,105.66875,2
112052,-1,,1.0,0.0,1
PC 17572,3,D33,1.0,38.3646,2
349208,-1,,3.0,7.8958,1
2003,-1,,2.0,13.0,2
113778,3,D34,1.0,26.55,1
370371,-1,,3.0,7.75,2
PC 17608,1,B57 B59 B63 B66,1.0,52.475,5
4138,-1,,3.0,9.8417,1
PC 17609,-1,,1.0,49.5042,1
29105,-1,,2.0,4.6,5
PC 17477,1,B35,1.0,69.3,1
C.A. 34651,-1,,2.0,6.9375,4
244360,-1,,2.0,13.0,1
2698,-1,,3.0,7.225,1
371110,-1,,3.0,24.15,1
230433,-1,,2.0,13.0,2
243847,-1,,2.0,6.75,4
3101265,-1,,3.0,7.4958,1
11765,4,E50,1.0,27.72085,2
250644,-1,,2.0,9.75,2
347088,-1,,3.0,4.6499999999999995,6
SC/PARIS 2168,-1,,2.0,15.0333,1
11753,3,D19,1.0,26.2771,2
A/5. 851,-1,,3.0,4.833333333333333,3
345770,-1,,3.0,9.5,1
2654,5,F E57,3.0,7.2292,1
330920,-1,,3.0,7.8208,1
2647,-1,,3.0,7.225,1
112050,0,A36,1.0,0.0,1
368323,-1,,3.0,6.95,1
370372,-1,,3.0,7.75,1
244310,-1,,2.0,13.0,1
226875,-1,,2.0,13.0,2
3101277,-1,,3.0,2.6416666666666666,3
36866,-1,,3.0,7.7375,1
W./C. 6607,-1,,3.0,5.8625,4
113798,-1,,1.0,31.0,1
372622,-1,,3.0,7.75,1
2003,-1,,2.0,13.0,2
363592,-1,,3.0,8.05,1
A/5. 13032,-1,,3.0,7.7333,1
35852,-1,,3.0,7.7333,1
244278,-1,,2.0,10.5,1
A/5. 3336,-1,,3.0,8.05,2
SOTON/OQ 392083,-1,,3.0,8.05,1
347465,-1,,3.0,7.8542,1
2625,-1,,3.0,2.8389,3
220845,-1,,2.0,16.25,4
SC/PARIS 2131,-1,,2.0,15.05,1
SOTON/O.Q. 3101315,-1,,3.0,4.591666666666667,3
113776,2,C2,1.0,33.3,2
368573,-1,,3.0,7.75,1
PC 17758,2,C65,1.0,54.45,2
364498,-1,,3.0,14.5,1
PC 17596,2,C118,1.0,14.85,2
11770,2,C101,1.0,8.566666666666666,3
36973,2,C83,1.0,41.7375,2
A./5. 2152,-1,,3.0,8.05,1
PP 4348,-1,,3.0,9.35,1
65304,-1,,3.0,9.98335,2
315093,-1,,3.0,8.6625,1
17453,2,C92,1.0,44.5521,2
315153,-1,,3.0,7.341666666666666,3
C.A. 15185,-1,,2.0,10.5,1
CA. 2343,-1,,3.0,6.322727272727272,11
211536,-1,,2.0,13.0,1
3101296,-1,,3.0,7.925,1
248723,-1,,2.0,13.0,1
2685,-1,,3.0,7.2292,1
211535,-1,,2.0,13.0,1
S.O.C. 14879,-1,,2.0,73.5,1
24160,1,B5,1.0,211.3375,1
248738,-1,,2.0,9.666666666666666,3
350035,-1,,3.0,7.7958,1
250651,-1,,2.0,8.666666666666666,3
2668,5,F E69,3.0,7.452766666666666,3
2661,-1,,3.0,5.081933333333333,3
323592,-1,,3.0,7.25,1
LINE,-1,,3.0,0.0,1
S.P. 3464,-1,,3.0,8.1583,1
113044,4,E60,1.0,26.0,1
250643,-1,,2.0,13.0,1
112058,1,B102,1.0,0.0,1
345572,-1,,3.0,8.7,2
28665,-1,,2.0,10.5,1
F.C. 12750,1,B71,1.0,13.0,4
345773,-1,,3.0,8.049999999999999,3
17465,3,D17,1.0,25.9292,1
349241,-1,,3.0,7.8958,1
28664,-1,,2.0,10.5,2
PC 17608,1,B57 B59 B63 B66,1.0,52.475,5
113505,4,E33,1.0,27.5,2
112378,-1,,1.0,29.7,2
